epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,12507.7,0.51741,0.91426,2.92872,0.95129,0,0.99647,0.99244,0.99048,0.92109,0.99647,0.99244,0.99048,0.92937,0.43416,0.31507,1.44099,0.82658,0,0.000582435,0.000582435,0.000582435
83,12659.7,0.51463,0.92072,2.90725,0.94795,0,0.99653,0.99583,0.9904,0.92769,0.99653,0.99583,0.9904,0.92782,0.4187,0.30206,1.42766,0.82399,0,0.000573891,0.000573891,0.000573891
84,12812,0.52,0.9214,2.94126,0.94953,0,0.99612,0.9957,0.99083,0.92188,0.99612,0.9957,0.99083,0.93196,0.42881,0.30405,1.43368,0.8256,0,0.000565325,0.000565325,0.000565325
85,12963.7,0.52136,0.92192,2.9452,0.9459,0,0.99533,0.99568,0.99051,0.91376,0.99533,0.99568,0.99051,0.93582,0.44771,0.30792,1.4674,0.82932,0,0.000556742,0.000556742,0.000556742
86,13115.9,0.51678,0.91608,2.91821,0.95216,0,0.99612,0.99583,0.98957,0.9069,0.99612,0.99583,0.98957,0.93347,0.47602,0.3268,1.48179,0.83615,0,0.000548142,0.000548142,0.000548142
87,13268.2,0.51479,0.91086,2.95899,0.94852,0,0.99603,0.99231,0.98955,0.90837,0.99603,0.99231,0.98955,0.93652,0.47948,0.3277,1.49612,0.83635,0,0.000539529,0.000539529,0.000539529
88,13420.6,0.51391,0.92441,2.93214,0.95068,0,0.99457,0.99206,0.98947,0.91583,0.99457,0.99206,0.98947,0.93469,0.45507,0.32095,1.45772,0.83095,0,0.000530906,0.000530906,0.000530906
89,13572.8,0.51252,0.90549,2.87179,0.94588,0,0.99645,0.99235,0.98949,0.91531,0.99645,0.99235,0.98949,0.93287,0.45654,0.31564,1.43843,0.83131,0,0.000522275,0.000522275,0.000522275
90,13724.6,0.50979,0.90773,2.82638,0.95055,0,0.9947,0.99538,0.99273,0.91246,0.9947,0.99538,0.99273,0.93165,0.46995,0.31514,1.44071,0.83422,0,0.000513639,0.000513639,0.000513639
91,13877.1,0.51486,0.90806,2.86218,0.95038,0,0.99484,0.99553,0.99008,0.91066,0.99484,0.99553,0.99008,0.93226,0.46631,0.32082,1.42697,0.83366,0,0.000505,0.000505,0.000505
92,14029.1,0.5119,0.8954,2.86388,0.94758,0,0.99439,0.99583,0.99416,0.92442,0.99439,0.99583,0.99416,0.93594,0.44291,0.31224,1.39588,0.82903,0,0.000496361,0.000496361,0.000496361
93,14181.2,0.51519,0.90279,2.85755,0.9481,0,0.99594,0.99583,0.99391,0.93208,0.99594,0.99583,0.99391,0.93649,0.41792,0.30699,1.35968,0.82384,0,0.000487725,0.000487725,0.000487725
94,14333.7,0.51008,0.91545,2.84175,0.94428,0,0.99603,0.99583,0.99469,0.93037,0.99603,0.99583,0.99469,0.93731,0.42144,0.30383,1.36432,0.82442,0,0.000479094,0.000479094,0.000479094
95,14486.3,0.507,0.9036,2.81412,0.94535,0,0.99654,0.99583,0.99489,0.92995,0.99654,0.99583,0.99489,0.94085,0.42212,0.30863,1.36483,0.82474,0,0.000470471,0.000470471,0.000470471
96,14638.7,0.50355,0.89768,2.81984,0.94565,0,0.9968,0.99583,0.99489,0.93662,0.9968,0.99583,0.99489,0.94058,0.40677,0.30421,1.33667,0.82234,0,0.000461858,0.000461858,0.000461858
97,14791.6,0.49945,0.88987,2.78489,0.94408,0,0.99681,0.99583,0.99489,0.93748,0.99681,0.99583,0.99489,0.93961,0.40181,0.30353,1.35007,0.82129,0,0.000453258,0.000453258,0.000453258
98,14943.9,0.49481,0.87044,2.68716,0.93476,0,0.99679,0.99583,0.99489,0.93139,0.99679,0.99583,0.99489,0.93904,0.40988,0.3114,1.34269,0.82239,0,0.000444675,0.000444675,0.000444675
99,15096,0.50355,0.89574,2.74586,0.94178,0,0.99674,0.99583,0.99396,0.92731,0.99674,0.99583,0.99396,0.93973,0.41888,0.31936,1.34462,0.8241,0,0.000436109,0.000436109,0.000436109
100,15249,0.50033,0.88347,2.76441,0.94165,0,0.99663,0.99583,0.9934,0.91979,0.99663,0.99583,0.9934,0.94141,0.43431,0.3322,1.35373,0.82723,0,0.000427565,0.000427565,0.000427565
101,15401.5,0.49917,0.89313,2.71515,0.94178,0,0.99672,0.99577,0.99343,0.91843,0.99672,0.99577,0.99343,0.94191,0.44093,0.33359,1.36947,0.82892,0,0.000419044,0.000419044,0.000419044
102,15550.7,0.48828,0.87331,2.68657,0.93754,0,0.99671,0.99583,0.99323,0.91625,0.99671,0.99583,0.99323,0.94008,0.44617,0.33755,1.37752,0.8299,0,0.00041055,0.00041055,0.00041055
103,15694.4,0.49259,0.8827,2.68952,0.93863,0,0.99656,0.99583,0.99396,0.91939,0.99656,0.99583,0.99396,0.94042,0.43973,0.33249,1.37133,0.82864,0,0.000402084,0.000402084,0.000402084
104,15838.1,0.49661,0.8823,2.72873,0.93787,0,0.99647,0.99583,0.99431,0.91896,0.99647,0.99583,0.99431,0.93831,0.44114,0.33289,1.37467,0.82877,0,0.000393649,0.000393649,0.000393649
105,15981.8,0.48972,0.87516,2.65355,0.93275,0,0.99643,0.99583,0.99474,0.91835,0.99643,0.99583,0.99474,0.94059,0.4504,0.33589,1.38136,0.83025,0,0.000385249,0.000385249,0.000385249
106,16125.4,0.48707,0.87391,2.66247,0.93518,0,0.99681,0.99583,0.99489,0.91717,0.99681,0.99583,0.99489,0.94021,0.45545,0.33691,1.39353,0.83113,0,0.000376885,0.000376885,0.000376885
