                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.3291,                0.89779,                 1.0159,                0.90398,                0.87169,                 0.9164,                0.55087,                 1.3725,                 1.0149,                 1.0809,               0.000398,               0.000398,               0.000398
                     91,                 1.3747,                0.91629,                 1.0445,                0.86977,                0.88889,                0.89634,                0.55705,                  1.398,                0.97162,                 1.0808,                0.00038,                0.00038,                0.00038
                     92,                 1.3387,                0.88059,                  1.027,                0.88137,                0.82563,                0.91288,                0.55196,                 1.3145,                 0.9581,                 1.0397,               0.000362,               0.000362,               0.000362
                     93,                 1.3174,                0.89627,                 1.0179,                0.88755,                0.87703,                0.92741,                 0.5769,                 1.2801,                0.98213,                 1.0296,               0.000344,               0.000344,               0.000344
                     94,                 1.3357,                0.88148,                 1.0284,                0.82919,                0.90741,                0.90308,                0.57037,                 1.3429,                 1.0014,                 1.0206,               0.000326,               0.000326,               0.000326
                     95,                 1.3522,                0.89312,                 1.0211,                0.81136,                0.90741,                  0.903,                0.52255,                 1.3476,                 1.0299,                 1.0356,               0.000308,               0.000308,               0.000308
                     96,                 1.3284,                0.88765,                 1.0204,                0.88934,                0.87037,                0.91353,                0.55797,                 1.3582,                0.94625,                 1.0417,                0.00029,                0.00029,                0.00029
                     97,                 1.3475,                0.88154,                 1.0183,                0.90362,                0.86819,                0.91019,                0.52973,                 1.3668,                 1.0271,                 1.0632,               0.000272,               0.000272,               0.000272
                     98,                 1.3336,                0.88205,                 1.0193,                0.85948,                0.90613,                0.92223,                0.54498,                 1.2943,                0.98761,                 1.0279,               0.000254,               0.000254,               0.000254
                     99,                 1.3203,                0.84915,                 1.0072,                0.87053,                0.87037,                0.90396,                0.55252,                 1.3686,                  1.014,                 1.0386,               0.000236,               0.000236,               0.000236
                    100,                 1.3102,                 0.8502,                 1.0113,                0.86946,                0.87037,                0.91384,                0.58587,                 1.3195,                 0.9676,                 1.0318,               0.000218,               0.000218,               0.000218
                    101,                 1.2329,                0.83262,                 1.0119,                0.90178,                0.85016,                0.91308,                 0.5743,                 1.3233,                0.95676,                 1.0432,                 0.0002,                 0.0002,                 0.0002
                    102,                 1.3096,                0.84147,                 1.0416,                0.87396,                0.89897,                0.91551,                0.56676,                 1.3206,                0.95555,                 1.0445,               0.000182,               0.000182,               0.000182
                    103,                 1.2529,                0.81326,                 1.0285,                0.90903,                0.92521,                0.91866,                0.58119,                 1.3545,                0.98824,                 1.0654,               0.000164,               0.000164,               0.000164
                    104,                 1.2616,                0.81357,                 1.0304,                 0.8445,                0.92593,                0.91666,                0.58932,                 1.3449,                0.93865,                 1.0569,               0.000146,               0.000146,               0.000146
                    105,                 1.2641,                0.80899,                 1.0347,                0.88763,                0.87781,                0.91484,                0.59105,                 1.3284,                0.91268,                 1.0411,               0.000128,               0.000128,               0.000128
                    106,                 1.2709,                0.79244,                 1.0206,                0.94298,                0.88889,                0.95055,                   0.59,                 1.2988,                0.90071,                 1.0333,                0.00011,                0.00011,                0.00011
                    107,                 1.2404,                0.84759,                 1.0214,                0.92262,                0.87037,                0.92692,                0.59069,                 1.3103,                0.93117,                 1.0401,                9.2e-05,                9.2e-05,                9.2e-05
                    108,                 1.2422,                0.78338,                 1.0294,                0.89293,                0.87037,                0.92423,                0.58542,                   1.32,                0.91328,                 1.0447,                7.4e-05,                7.4e-05,                7.4e-05
                    109,                 1.2443,                0.79794,                 1.0079,                0.88766,                0.87801,                0.92523,                0.57685,                  1.332,                 0.9063,                 1.0528,                5.6e-05,                5.6e-05,                5.6e-05
                    110,                 1.2201,                0.78426,                 1.0214,                0.90558,                0.88809,                 0.9202,                0.57574,                 1.3358,                 0.9328,                 1.0533,                3.8e-05,                3.8e-05,                3.8e-05
